('05', '08', '11', '17', '29', '43'):1
('16', '23', '29', '33', '38', '47'):1
('01', '08', '38', '39', '45', '48'):1
('08', '16', '18', '21', '23', '41'):1
('03', '08', '21', '22', '26', '40'):1
('02', '12', '32', '46', '48', '49'):1
('18', '20', '28', '32', '37', '47'):1
('01', '07', '14', '29', '32', '44'):1
('01', '02', '09', '11', '27', '41'):1
('09', '10', '19', '27', '45', '46'):1
('01', '18', '29', '40', '41', '48'):1
('11', '17', '21', '23', '29', '35'):1
('10', '20', '26', '39', '44', '48'):1
('08', '11', '19', '28', '29', '38'):1
('01', '07', '08', '26', '39', '46'):1
('01', '12', '13', '14', '15', '42'):1
('04', '13', '18', '22', '36', '46'):1
('04', '09', '10', '15', '16', '40'):1
('04', '13', '19', '22', '30', '47'):1
('02', '12', '14', '22', '30', '41'):1
('09', '23', '25', '31', '45', '48'):1
('10', '12', '14', '19', '23', '46'):1
('03', '10', '15', '20', '22', '48'):1
('03', '15', '32', '38', '40', '42'):1
('09', '24', '39', '40', '41', '47'):1
('03', '09', '22', '29', '33', '34'):1
('04', '05', '13', '16', '26', '29'):1
('02', '18', '31', '40', '43', '45'):1
('05', '06', '11', '19', '34', '44'):1
('21', '23', '36', '37', '40', '46'):1
('11', '15', '17', '22', '27', '37'):1
('04', '07', '11', '31', '32', '49'):1
('05', '09', '25', '31', '33', '49'):1
('06', '18', '27', '28', '32', '33'):1
('03', '11', '17', '18', '39', '46'):1
('04', '05', '13', '19', '25', '27'):1
('12', '16', '17', '18', '40', '45'):1
('01', '11', '12', '21', '29', '36'):1
('11', '18', '34', '40', '47', '48'):1
('08', '13', '17', '25', '44', '46'):1
('12', '24', '32', '36', '37', '43'):1
('06', '22', '25', '27', '32', '47'):1
('15', '17', '23', '32', '44', '45'):1
('03', '04', '27', '29', '32', '45'):1
('04', '10', '14', '15', '22', '45'):1
('04', '07', '13', '14', '39', '40'):1
('02', '03', '04', '27', '28', '37'):1
('01', '04', '06', '08', '19', '27'):1
('01', '05', '10', '18', '28', '30'):1
('02', '04', '06', '13', '18', '19'):1
('17', '18', '28', '29', '36', '49'):1
('03', '20', '26', '33', '42', '44'):1
('12', '15', '22', '27', '28', '43'):1
('04', '19', '34', '38', '43', '48'):1
('14', '27', '37', '43', '46', '49'):1
('01', '02', '05', '26', '33', '49'):1
('22', '24', '25', '31', '45', '47'):1
('06', '13', '29', '37', '38', '45'):1
('05', '08', '15', '17', '34', '45'):1
('01', '03', '12', '15', '29', '47'):1
('09', '10', '18', '20', '30', '46'):1
('06', '10', '21', '42', '43', '47'):1
('04', '08', '19', '21', '24', '33'):1
('06', '14', '18', '29', '45', '46'):1
('03', '14', '24', '34', '41', '46'):1
('10', '21', '25', '33', '42', '43'):1
('02', '10', '14', '23', '36', '44'):1
('10', '14', '23', '38', '42', '48'):1
('12', '20', '23', '27', '29', '42'):1
('03', '28', '31', '34', '43', '46'):1
('04', '13', '14', '19', '41', '44'):1
('03', '07', '12', '22', '24', '39'):1
('07', '24', '30', '39', '44', '48'):1
('02', '04', '08', '23', '33', '44'):1
('10', '17', '22', '26', '29', '49'):1
('04', '10', '15', '16', '34', '49'):1
('02', '03', '18', '30', '35', '47'):1
('01', '04', '05', '14', '19', '45'):1
('04', '13', '18', '28', '33', '40'):1
('16', '19', '26', '31', '33', '40'):1
('20', '27', '35', '36', '41', '42'):1
('02', '03', '15', '22', '36', '40'):1
('03', '11', '19', '30', '33', '35'):1
('06', '11', '17', '25', '30', '43'):1
('12', '24', '32', '33', '36', '45'):1
('11', '26', '31', '32', '43', '45'):1
('06', '07', '12', '27', '28', '41'):1
('01', '05', '14', '26', '27', '29'):1
('05', '19', '23', '34', '36', '37'):1
('15', '20', '21', '25', '32', '42'):1
('02', '05', '16', '21', '34', '35'):1
('05', '10', '18', '19', '34', '35'):1
('01', '02', '06', '22', '29', '34'):1
('01', '04', '22', '35', '39', '40'):1
('01', '09', '12', '26', '28', '34'):1
('08', '15', '19', '29', '38', '48'):1
('08', '15', '21', '25', '37', '42'):1
('01', '19', '23', '31', '38', '48'):1
('02', '19', '26', '29', '41', '42'):1
('01', '25', '26', '28', '34', '45'):1
('01', '02', '09', '19', '30', '49'):1
('06', '07', '19', '21', '31', '42'):1
('12', '14', '37', '39', '41', '47'):1
('17', '19', '24', '33', '41', '46'):1
('02', '13', '15', '17', '32', '40'):1
('03', '08', '19', '20', '44', '45'):1
('03', '14', '23', '29', '35', '48'):1
('04', '07', '10', '18', '27', '31'):1
('01', '14', '21', '26', '35', '49'):1
('15', '23', '29', '33', '37', '41'):1
('01', '04', '36', '37', '42', '43'):1
('02', '26', '32', '37', '40', '43'):1
('08', '15', '19', '23', '27', '33'):1
('01', '06', '13', '21', '26', '40'):1
('14', '19', '20', '23', '24', '29'):1
('06', '08', '12', '30', '40', '41'):1
('10', '18', '26', '35', '41', '48'):1
('01', '08', '10', '17', '27', '31'):1
('06', '11', '20', '24', '36', '41'):1
('07', '22', '34', '44', '46', '47'):1
('05', '18', '19', '26', '39', '49'):1
('11', '13', '23', '24', '41', '42'):1
('02', '26', '28', '44', '45', '47'):1
('01', '12', '27', '32', '40', '48'):1
('01', '02', '17', '28', '36', '42'):1
('03', '05', '11', '16', '17', '40'):1
('02', '07', '08', '13', '32', '42'):1
('14', '19', '29', '34', '42', '48'):1
('13', '25', '30', '33', '36', '43'):1
('02', '05', '07', '38', '43', '44'):1
('01', '03', '09', '29', '36', '41'):1
('09', '10', '25', '35', '37', '40'):1
('02', '03', '08', '10', '39', '48'):1
('07', '15', '22', '37', '41', '42'):1
('05', '09', '11', '33', '46', '49'):1
('13', '14', '26', '33', '36', '40'):1
('03', '26', '31', '35', '46', '49'):1
('05', '11', '22', '28', '30', '42'):1
('08', '14', '31', '42', '43', '44'):1
('01', '28', '30', '34', '48', '49'):1
('10', '12', '14', '39', '41', '45'):1
('08', '13', '19', '25', '29', '38'):1
('18', '24', '32', '33', '35', '46'):1
('06', '13', '19', '37', '38', '43'):1
('04', '05', '07', '15', '24', '38'):1
('16', '20', '23', '31', '38', '43'):1
('04', '06', '11', '32', '36', '43'):1
('04', '06', '09', '11', '19', '23'):1
('03', '11', '24', '38', '40', '43'):1
('11', '16', '26', '27', '40', '44'):1
('09', '12', '13', '18', '22', '36'):1
('03', '14', '28', '31', '40', '49'):1
('02', '14', '19', '30', '32', '49'):1
('02', '04', '13', '21', '25', '28'):1
('17', '22', '26', '29', '31', '44'):1
('08', '15', '17', '32', '36', '45'):1
('03', '06', '12', '30', '44', '46'):1
('05', '09', '16', '33', '36', '43'):1
('03', '21', '27', '36', '37', '46'):1
('02', '06', '09', '20', '22', '48'):1
('01', '04', '10', '22', '31', '41'):1
('02', '13', '21', '32', '41', '43'):1
('01', '22', '27', '34', '47', '49'):1
('09', '17', '24', '41', '42', '47'):1
('13', '17', '31', '36', '39', '43'):1
('01', '07', '39', '40', '41', '46'):1
('01', '10', '13', '23', '42', '48'):1
('01', '04', '16', '27', '36', '44'):1
('01', '06', '09', '11', '21', '39'):1
('05', '12', '13', '27', '42', '48'):1
('04', '06', '10', '25', '29', '41'):1
('07', '10', '14', '15', '26', '46'):1
('03', '10', '13', '15', '31', '48'):1
('07', '17', '19', '35', '42', '44'):1
('08', '18', '19', '20', '36', '40'):1
('05', '18', '25', '28', '35', '46'):1
('23', '29', '30', '36', '37', '43'):1
('07', '12', '14', '21', '34', '38'):1
('10', '11', '13', '26', '44', '45'):1
('01', '06', '11', '20', '24', '35'):1
('09', '16', '35', '42', '47', '49'):1
('10', '12', '14', '31', '33', '40'):1
('04', '07', '14', '22', '45', '47'):1
('05', '10', '27', '34', '36', '38'):1
('01', '04', '06', '17', '23', '26'):1
('03', '09', '12', '14', '15', '46'):1
('18', '23', '33', '35', '36', '41'):1
('01', '13', '24', '35', '44', '48'):1
('03', '13', '33', '34', '45', '47'):1
('03', '16', '33', '37', '43', '45'):1
('07', '13', '34', '36', '43', '45'):1
('04', '13', '38', '39', '40', '42'):1
('13', '15', '26', '42', '45', '47'):1
('06', '07', '14', '18', '25', '34'):1
('04', '11', '22', '24', '27', '36'):1
('04', '07', '12', '15', '36', '41'):1
('09', '13', '14', '32', '34', '49'):1
('18', '28', '33', '38', '46', '49'):1
('27', '30', '32', '35', '42', '47'):1
('08', '09', '24', '28', '42', '47'):1
('09', '15', '17', '18', '37', '46'):1
('13', '14', '16', '19', '31', '38'):1
('01', '03', '28', '30', '38', '40'):1
('03', '07', '09', '28', '30', '48'):1
('09', '12', '16', '21', '22', '23'):1
('02', '04', '15', '17', '36', '40'):1
('18', '24', '28', '31', '42', '49'):1
('01', '08', '09', '14', '21', '23'):1
('02', '05', '09', '21', '34', '49'):1
('09', '20', '31', '34', '37', '45'):1
('13', '15', '16', '27', '38', '49'):1
('03', '05', '16', '22', '29', '33'):1
('05', '15', '19', '27', '46', '49'):1
('03', '17', '28', '36', '41', '47'):1
('16', '18', '24', '25', '34', '42'):1
('07', '12', '25', '31', '37', '44'):1
('03', '15', '18', '23', '31', '39'):1
('03', '07', '09', '30', '44', '45'):1
('04', '12', '20', '36', '40', '45'):1
('04', '20', '25', '28', '46', '49'):1
('14', '16', '28', '33', '45', '47'):1
('13', '15', '36', '39', '40', '41'):1
('19', '25', '28', '29', '34', '42'):1
('03', '20', '27', '28', '44', '46'):1
('02', '17', '18', '19', '38', '40'):1
('07', '12', '17', '23', '33', '37'):1
('01', '12', '17', '18', '30', '46'):1
('13', '14', '15', '23', '24', '41'):1
('03', '19', '34', '36', '44', '48'):1
('01', '02', '22', '27', '30', '44'):1
('11', '25', '32', '40', '44', '46'):1
('05', '07', '27', '39', '42', '48'):1
('13', '35', '43', '45', '46', '47'):1
('08', '11', '37', '38', '42', '45'):1
('19', '31', '32', '37', '40', '48'):1
('06', '16', '18', '30', '32', '41'):1
('02', '13', '31', '32', '33', '40'):1
('02', '13', '34', '36', '41', '42'):1
('01', '17', '18', '40', '41', '43'):1
('02', '04', '07', '09', '16', '41'):1
('07', '11', '21', '41', '43', '46'):1
('05', '07', '08', '09', '17', '42'):1
('03', '05', '11', '27', '34', '37'):1
('09', '26', '33', '34', '36', '44'):1
('02', '16', '19', '25', '37', '43'):1
('01', '24', '29', '42', '44', '45'):1
('10', '12', '23', '26', '41', '46'):1
('05', '18', '26', '28', '46', '47'):1
('05', '07', '15', '29', '42', '44'):1
('02', '06', '23', '36', '37', '46'):1
('05', '13', '19', '38', '39', '42'):1
('03', '10', '17', '26', '39', '49'):1
('02', '16', '28', '36', '38', '43'):1
('08', '20', '26', '27', '47', '48'):1
('11', '20', '22', '26', '27', '43'):1
('02', '07', '21', '24', '30', '42'):1
('10', '19', '20', '25', '39', '42'):1
('10', '15', '21', '22', '42', '43'):1
('10', '16', '28', '37', '39', '40'):1
('10', '14', '22', '26', '27', '36'):1
('10', '20', '29', '30', '33', '41'):1
('16', '32', '34', '36', '45', '46'):1
('03', '10', '16', '27', '34', '37'):1
('25', '31', '37', '39', '44', '49'):1
('03', '10', '11', '13', '19', '31'):1
('08', '11', '12', '27', '41', '44'):1
('01', '02', '03', '28', '40', '43'):1
('03', '27', '29', '36', '37', '47'):1
('21', '24', '38', '39', '45', '46'):1
('01', '09', '14', '25', '28', '29'):1
('03', '05', '10', '21', '26', '49'):1
('09', '19', '22', '29', '37', '44'):1
('09', '21', '31', '35', '43', '47'):1
('10', '13', '27', '29', '37', '45'):1
('06', '11', '21', '22', '28', '41'):1
('01', '09', '17', '19', '38', '43'):1
('07', '15', '16', '35', '37', '38'):1
('15', '21', '22', '26', '28', '35'):1
('18', '23', '24', '33', '45', '48'):1
('07', '14', '29', '31', '43', '46'):1
('12', '13', '26', '30', '39', '46'):1
('09', '14', '15', '22', '26', '48'):1
('02', '13', '19', '32', '34', '49'):1
('07', '14', '23', '27', '31', '45'):1
('08', '13', '17', '27', '32', '49'):1
('01', '02', '03', '12', '18', '27'):1
('07', '09', '14', '35', '39', '48'):1
('12', '15', '18', '21', '32', '43'):1
('12', '15', '21', '30', '44', '47'):1
('05', '23', '25', '28', '30', '42'):1
('06', '11', '17', '21', '36', '45'):1
('14', '21', '22', '26', '44', '49'):1
('02', '15', '21', '39', '44', '48'):1
('04', '17', '19', '36', '38', '48'):1
('11', '14', '16', '18', '39', '41'):1
('03', '16', '19', '30', '36', '47'):1
('01', '15', '27', '29', '31', '33'):1
('07', '15', '17', '28', '45', '47'):1
('11', '21', '24', '26', '35', '38'):1
('09', '21', '34', '35', '47', '48'):1
('03', '06', '11', '15', '22', '24'):1
('05', '08', '27', '30', '47', '49'):1
('04', '15', '16', '21', '28', '42'):1
('02', '04', '19', '40', '44', '45'):1
('18', '19', '25', '29', '32', '41'):1
('15', '18', '21', '29', '40', '47'):1
('03', '22', '36', '39', '45', '47'):1
('01', '10', '14', '33', '39', '44'):1
('06', '16', '17', '25', '36', '37'):1
('04', '05', '22', '32', '44', '45'):1
('01', '07', '10', '23', '38', '47'):1
('03', '08', '20', '25', '30', '38'):1
('17', '22', '38', '44', '47', '49'):1
('06', '17', '19', '29', '31', '38'):1
('10', '16', '17', '23', '27', '43'):1
('03', '23', '25', '37', '43', '46'):1
('04', '06', '15', '21', '26', '40'):1
('03', '05', '19', '35', '40', '47'):1
('02', '20', '22', '29', '34', '36'):1
('07', '15', '28', '29', '38', '48'):1
('04', '13', '26', '40', '41', '48'):1
('08', '19', '24', '25', '29', '49'):1
('03', '10', '28', '34', '40', '42'):1
('27', '30', '35', '36', '40', '49'):1
('07', '08', '27', '37', '41', '45'):1
('08', '21', '25', '27', '43', '47'):1
('05', '07', '23', '25', '33', '42'):1
('08', '24', '34', '37', '43', '48'):1
('02', '05', '14', '18', '35', '49'):1
('07', '08', '24', '32', '36', '41'):1
('08', '19', '24', '26', '30', '47'):1
('03', '06', '07', '32', '41', '43'):1
('06', '10', '13', '14', '15', '28'):1
('19', '21', '29', '37', '41', '49'):1
('07', '13', '23', '40', '41', '49'):1
('07', '15', '20', '28', '32', '42'):1
('01', '23', '29', '31', '35', '42'):1
('08', '11', '32', '41', '44', '45'):1
('08', '24', '25', '31', '43', '46'):1
('06', '09', '10', '24', '26', '32'):1
('02', '10', '41', '42', '44', '45'):1
('08', '09', '12', '19', '24', '41'):1
('19', '20', '32', '37', '42', '49'):1
('02', '12', '19', '39', '44', '45'):1
('08', '18', '26', '40', '44', '49'):1
('02', '10', '14', '19', '24', '35'):1
('09', '22', '39', '43', '45', '47'):1
('02', '14', '23', '29', '30', '39'):1
('06', '26', '36', '39', '40', '45'):1
('20', '21', '22', '24', '40', '46'):1
('16', '22', '26', '30', '35', '39'):1
('01', '08', '16', '23', '36', '43'):1
('13', '21', '28', '36', '37', '40'):1
('08', '15', '16', '34', '40', '42'):1
('07', '12', '13', '19', '31', '42'):1
('03', '12', '19', '20', '24', '39'):1
('05', '09', '16', '28', '41', '43'):1
('03', '11', '15', '17', '21', '40'):1
('02', '18', '24', '26', '27', '30'):1
('01', '11', '19', '26', '27', '34'):1
('19', '28', '34', '36', '41', '47'):1
('07', '08', '22', '34', '39', '45'):1
('04', '10', '17', '18', '21', '42'):1
('09', '16', '19', '31', '32', '48'):1
('04', '24', '26', '34', '36', '46'):1
('04', '21', '24', '26', '34', '36'):1
('02', '11', '23', '24', '43', '49'):1
('09', '16', '30', '38', '40', '41'):1
('03', '11', '21', '27', '28', '34'):1
('04', '07', '19', '37', '44', '45'):1
('08', '11', '27', '38', '40', '44'):1
('08', '17', '18', '34', '41', '49'):1
('02', '09', '12', '40', '45', '48'):1
('07', '25', '35', '37', '41', '42'):1
('02', '04', '05', '13', '30', '38'):1
('10', '13', '15', '16', '24', '43'):1
('04', '12', '15', '17', '37', '46'):1
('06', '15', '35', '37', '45', '48'):1
('10', '18', '25', '37', '38', '49'):1
('02', '10', '12', '20', '43', '46'):1
('13', '25', '31', '32', '38', '40'):1
('02', '18', '24', '28', '33', '36'):1
('04', '05', '09', '22', '39', '49'):1
('02', '12', '16', '18', '27', '40'):1
('10', '20', '25', '26', '32', '47'):1
('06', '09', '10', '11', '42', '44'):1
('11', '13', '31', '32', '47', '49'):1
('05', '14', '16', '30', '37', '44'):1
('15', '28', '31', '32', '38', '49'):1
('07', '08', '09', '21', '24', '25'):1
('01', '12', '34', '38', '46', '48'):1
('09', '11', '18', '29', '30', '43'):1
('07', '18', '35', '40', '41', '49'):1
('02', '09', '13', '26', '29', '35'):1
('01', '09', '17', '25', '28', '44'):1
('07', '10', '12', '32', '38', '41'):1
('02', '07', '11', '16', '17', '44'):1
('13', '26', '30', '35', '36', '39'):1
('01', '28', '31', '34', '35', '40'):1
('05', '08', '20', '31', '32', '33'):1
('23', '24', '25', '26', '32', '35'):1
('03', '09', '15', '23', '27', '37'):1
('01', '11', '22', '23', '38', '39'):1
('01', '19', '26', '32', '33', '34'):1
('02', '17', '18', '28', '35', '40'):1
('07', '25', '31', '35', '37', '39'):1
('04', '11', '25', '36', '40', '49'):1
('08', '17', '19', '29', '42', '43'):1
('10', '19', '33', '43', '45', '46'):1
('03', '17', '20', '22', '24', '34'):1
('07', '12', '18', '34', '35', '41'):1
('24', '25', '34', '40', '41', '43'):1
('11', '16', '23', '31', '47', '49'):1
('14', '22', '24', '26', '31', '41'):1
('02', '15', '17', '19', '26', '38'):1
('17', '18', '21', '23', '27', '48'):1
('01', '07', '24', '34', '36', '48'):1
('08', '21', '35', '36', '37', '43'):1
('05', '09', '11', '20', '22', '29'):1
('04', '18', '20', '25', '30', '49'):1
('02', '09', '12', '15', '26', '31'):1
('05', '14', '24', '28', '36', '49'):1
('06', '09', '17', '22', '28', '36'):1
('04', '05', '12', '27', '43', '45'):1
('04', '08', '11', '23', '34', '35'):1
('09', '18', '19', '22', '31', '38'):1
('01', '02', '21', '22', '27', '47'):1
('07', '10', '12', '19', '22', '45'):1
('12', '18', '19', '24', '32', '42'):1
('01', '09', '11', '26', '33', '40'):1
('01', '04', '38', '42', '46', '49'):1
('07', '08', '10', '14', '27', '48'):1
('03', '06', '25', '31', '32', '40'):1
('15', '23', '28', '36', '39', '47'):1
('11', '12', '22', '28', '37', '49'):1
('06', '07', '22', '31', '38', '44'):1
('15', '24', '29', '32', '36', '46'):1
('19', '28', '33', '40', '42', '48'):1
('06', '09', '13', '24', '35', '42'):1
('08', '09', '11', '21', '42', '44'):1
('03', '05', '21', '26', '28', '34'):1
('04', '24', '26', '30', '39', '46'):1
('03', '15', '27', '35', '36', '45'):1
('16', '19', '28', '45', '48', '49'):1
('25', '28', '31', '35', '44', '48'):1
('05', '32', '33', '38', '40', '47'):1
('01', '03', '04', '07', '14', '45'):1
('03', '11', '16', '19', '22', '47'):1
('05', '06', '09', '20', '29', '30'):1
('21', '29', '31', '32', '34', '46'):1
('03', '09', '11', '35', '43', '45'):1
('03', '07', '12', '29', '31', '44'):1
('05', '10', '11', '13', '23', '41'):1
('06', '08', '22', '24', '43', '45'):1
('01', '09', '10', '12', '27', '49'):1
('19', '25', '27', '42', '47', '48'):1
('12', '19', '34', '45', '47', '48'):1
('03', '17', '21', '35', '37', '38'):1
('02', '06', '17', '25', '37', '49'):1
('05', '06', '17', '22', '34', '40'):1
('07', '11', '16', '31', '41', '42'):1
('16', '23', '26', '35', '45', '47'):1
('07', '09', '20', '31', '37', '47'):1
('01', '20', '23', '41', '45', '47'):1
('05', '12', '23', '26', '33', '48'):1
('04', '06', '31', '33', '35', '42'):1
('13', '18', '28', '29', '30', '33'):1
('09', '15', '18', '23', '37', '41'):1
('14', '15', '20', '23', '26', '48'):1
('01', '05', '07', '10', '25', '44'):1
('04', '07', '16', '18', '23', '36'):1
('01', '10', '20', '21', '37', '44'):1
('01', '14', '18', '19', '26', '37'):1
('01', '04', '18', '37', '40', '49'):1
('04', '15', '20', '35', '39', '41'):1
('07', '19', '23', '28', '42', '49'):1
('07', '10', '12', '35', '38', '40'):1
('02', '17', '35', '37', '43', '48'):1
('08', '17', '19', '45', '48', '49'):1
('09', '17', '19', '25', '29', '46'):1
('06', '09', '20', '26', '38', '45'):1
('06', '10', '17', '26', '44', '49'):1
('13', '17', '20', '27', '33', '34'):1
('20', '23', '35', '43', '44', '47'):1
('01', '02', '05', '27', '39', '49'):1
('18', '21', '27', '37', '38', '40'):1
('03', '05', '22', '35', '43', '46'):1
('11', '23', '32', '42', '46', '47'):1
('01', '06', '08', '12', '27', '40'):1
('03', '16', '21', '25', '26', '39'):1
('03', '05', '09', '20', '29', '49'):1
('12', '22', '26', '27', '30', '31'):1
('01', '11', '20', '35', '40', '49'):1
('11', '14', '21', '30', '39', '40'):1
('03', '15', '30', '37', '38', '41'):1
('03', '13', '16', '21', '28', '43'):1
('03', '07', '11', '20', '22', '30'):1
('18', '19', '22', '29', '35', '45'):1
('19', '20', '25', '32', '33', '34'):1
('09', '12', '13', '22', '23', '43'):1
('07', '10', '26', '29', '33', '37'):1
('18', '25', '26', '29', '30', '39'):1
('18', '21', '28', '32', '34', '42'):1
('10', '24', '25', '31', '32', '36'):1
('08', '15', '16', '19', '27', '47'):1
('03', '09', '28', '29', '41', '42'):1
('06', '19', '20', '28', '31', '39'):1
('01', '22', '26', '27', '31', '34'):1
('09', '11', '17', '23', '28', '36'):1
('03', '12', '22', '24', '35', '46'):1
('10', '11', '26', '32', '33', '44'):1
('01', '11', '16', '26', '45', '47'):1
('11', '16', '21', '22', '28', '46'):1
('06', '14', '24', '30', '35', '48'):1
('02', '14', '20', '24', '41', '47'):1
('03', '19', '40', '44', '47', '48'):1
('07', '15', '16', '25', '28', '29'):1
('06', '08', '18', '22', '26', '36'):1
('13', '20', '33', '35', '42', '48'):1
('07', '11', '35', '36', '37', '40'):1
('16', '25', '29', '35', '39', '49'):1
('03', '05', '14', '21', '28', '43'):1
('04', '38', '39', '41', '45', '49'):1
('01', '22', '28', '37', '39', '43'):1
('03', '04', '24', '30', '36', '44'):1
('08', '17', '25', '26', '38', '48'):1
('22', '25', '29', '41', '42', '43'):1
('02', '09', '13', '27', '36', '48'):1
('11', '12', '17', '27', '42', '48'):1
('05', '15', '19', '21', '29', '39'):1
('03', '16', '25', '29', '35', '40'):1
('04', '22', '36', '40', '43', '47'):1
('05', '18', '30', '33', '37', '45'):1
('08', '26', '31', '32', '39', '42'):1
('04', '05', '17', '24', '27', '28'):1
('08', '10', '22', '24', '35', '47'):1
('13', '15', '20', '24', '32', '38'):1
('04', '09', '15', '29', '37', '45'):1
('01', '06', '23', '32', '39', '48'):1
('02', '03', '06', '10', '25', '43'):1
('06', '10', '32', '34', '36', '48'):1
('12', '28', '32', '33', '36', '49'):1
('03', '09', '12', '23', '27', '49'):1
('02', '03', '14', '29', '36', '40'):1
('07', '19', '28', '33', '38', '45'):1
('26', '29', '31', '34', '36', '40'):1
('17', '28', '31', '39', '47', '49'):1
('11', '18', '31', '34', '35', '45'):1
('16', '17', '21', '26', '31', '38'):1
('09', '15', '25', '37', '47', '49'):1
('07', '12', '13', '21', '44', '46'):1
('03', '05', '08', '13', '21', '43'):1
('22', '30', '33', '40', '42', '45'):1
('03', '14', '15', '19', '20', '28'):1
('01', '06', '10', '14', '34', '46'):1
('06', '14', '15', '39', '46', '48'):1
('02', '09', '16', '21', '30', '31'):1
('05', '22', '26', '33', '47', '48'):1
('02', '08', '15', '22', '28', '48'):1
('04', '07', '14', '30', '46', '49'):1
('12', '21', '29', '30', '44', '46'):1
('04', '14', '16', '26', '38', '47'):1
('02', '04', '22', '23', '32', '35'):1
('12', '13', '15', '31', '32', '43'):1
('05', '07', '15', '18', '20', '21'):1
('01', '22', '27', '42', '43', '49'):1
('01', '05', '18', '21', '32', '36'):1
('04', '09', '20', '29', '41', '49'):1
('03', '19', '23', '26', '30', '41'):1
('02', '07', '16', '20', '35', '42'):1
('08', '14', '28', '39', '40', '42'):1
('04', '09', '21', '42', '45', '48'):1
('09', '15', '18', '42', '43', '49'):1
('08', '14', '20', '22', '28', '32'):1
('07', '14', '24', '34', '35', '40'):1
('24', '28', '34', '38', '39', '44'):1
('04', '05', '07', '29', '42', '46'):1
('04', '14', '30', '31', '34', '44'):1
('17', '19', '21', '31', '35', '48'):1
('06', '09', '14', '32', '36', '45'):1
('07', '10', '16', '26', '35', '40'):1
('02', '11', '17', '26', '34', '40'):1
('09', '14', '22', '33', '37', '39'):1
('10', '13', '24', '33', '40', '45'):1
('11', '13', '20', '31', '34', '40'):1
('12', '17', '30', '39', '43', '47'):1
('05', '08', '12', '14', '21', '28'):1
('11', '24', '28', '30', '32', '34'):1
('02', '06', '10', '20', '38', '40'):1
('06', '11', '12', '25', '36', '46'):1
('04', '05', '22', '36', '42', '47'):1
('12', '16', '28', '32', '43', '45'):1
('03', '10', '17', '26', '36', '41'):1
('04', '05', '37', '40', '41', '45'):1
('07', '15', '20', '23', '29', '34'):1
('04', '14', '15', '16', '18', '40'):1
('01', '06', '30', '31', '41', '43'):1
('06', '19', '21', '22', '34', '37'):1
('09', '16', '20', '21', '33', '41'):1
('02', '10', '14', '16', '27', '44'):1
('08', '09', '15', '19', '21', '49'):1
('17', '26', '36', '37', '38', '46'):1
('02', '09', '10', '14', '25', '41'):1
('01', '11', '14', '16', '20', '41'):1
('27', '35', '38', '45', '46', '47'):1
('20', '28', '30', '36', '41', '46'):1
